,id_estacao,data_fundacao,latitude,longitude,municipio
421,A569,2016-06-10,-19.45527777,-44.17333332,3167202
422,A570,2017-10-19,-20.715,-44.86444444,3145604
423,A571,2018-03-16,-17.24444444,-46.88166666,3147006
424,F501,2013-12-27,-19.97999999,-43.95861111,3106200
425,A601,2000-05-24,-22.75777777,-43.68472221,3305554
426,A602,2002-11-08,-23.05027777,-43.59555555,3304557
427,A603,2002-10-21,-22.58972221,-43.28222221,3301702
428,A604,2002-11-20,-21.58749999,-41.95833333,3300902
429,A606,2006-09-22,-22.97527777,-42.02138888,3300258
430,A607,2006-09-25,-21.71472222,-41.34388888,3301009
431,A608,2006-09-22,-22.3761111,-41.81194444,3302403
432,A609,2006-09-29,-22.45138888,-44.44499999,3304201
433,A610,2006-10-22,-22.46472222,-43.29138888,3303906
434,A611,2006-09-27,-22.35805555,-43.69555555,3306107
435,A618,2006-11-01,-22.4486111,-42.98694444,3305802
436,A619,2006-11-19,-23.2236111,-44.72694443,3303807
437,A620,2008-06-13,-22.04166666,-41.05166666,3301009
438,A621,2007-04-13,-22.86138888,-43.41138888,3304557
439,A624,2010-09-18,-22.33472221,-42.67694443,3303401
440,A625,2016-06-08,-22.09833333,-43.20833333,3306008
441,A626,2016-06-03,-22.653579,-44.040916,3304409
442,A627,2018-07-13,-22.867389,-43.102056,3303302
443,A628,2017-08-25,-22.97555554,-44.30333333,3300100
444,A629,2018-10-11,-21.938745,-42.600936,3301207
445,A630,2018-10-16,-21.95055555,-42.01027777,3304607
446,A635,2017-09-01,-22.37388888,-44.70305555,3304201
447,A636,2017-08-10,-22.939883,-43.402897,3304557
448,A652,2007-05-18,-22.98833333,-43.19055555,3304557
449,A659,2015-08-28,-22.64583333,-42.41555555,3305604
450,A667,2015-09-02,-22.8711111,-42.60888888,3305505
451,A701,2006-07-25,-23.496294,-46.620088,3550308
452,A705,2001-08-30,-22.358052,-49.028877,3506003
453,A706,2002-03-13,-22.75027777,-45.60388888,3509700
454,A707,2003-02-04,-22.119867,-51.408637,3541406
455,A708,2002-12-12,-20.58444444,-47.38249999,3516200
456,A711,2006-09-04,-21.980353,-47.883927,3548906
457,A712,2006-07-20,-24.67166666,-47.54583333,3520301
458,A713,2006-08-22,-23.4261111,-47.58555555,3521002
459,A714,2006-07-25,-23.98194443,-48.88583333,3522406
460,A715,2006-08-15,-23.85194444,-48.16472222,3550209
461,A716,2006-08-29,-22.94888888,-49.89444444,3534708
462,A718,2006-09-01,-22.37277777,-50.97472221,3542206
463,A725,2006-09-22,-23.10166666,-48.9411111,3504503
464,A726,2006-09-26,-22.70305555,-47.62333332,3538709
465,A727,2006-09-20,-21.66611111,-49.73472221,3527108
466,A728,2006-12-20,-23.04166666,-45.52083332,3554102
467,A729,2006-12-04,-20.40333333,-49.96611111,3557105
468,A733,2007-08-22,-20.165,-50.59499999,3524808
469,A734,2007-08-30,-21.31916666,-50.93027777,3506201
