,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
2825,1303908,81.71,3.9,6.73,24.86,0.64,47.99,150.28,3.7,4.07,38.51,31422,14263,17159,0.521
2826,1502764,50.48,2.41,6.97,26.19,0.64,24.58,417.06,7.54,30.01,80.98,10466,2711,7755,0.55
2827,1505304,71.26,4.71,9.32,12.49,0.64,26.43,332.29,9.5,19.38,54.63,62794,40147,22647,0.623
2828,1505809,92.61,3.32,6.19,32.68,0.64,39.4,195.22,8.56,8.23,62.51,52172,24852,27320,0.483
2829,1707108,54.7,7.76,9.97,17.65,0.64,13.42,507.04,5.76,11.96,98.92,6363,4466,1897,0.683
2830,1711506,57.24,8.67,9.35,14.22,0.64,12.84,523.53,2.63,16.34,90.1,3507,1310,2197,0.662
2831,1718501,73.4,5.44,8.15,29.54,0.64,46.78,168.85,3.08,10.8,70.76,3768,1990,1778,0.5
2832,1720150,76.97,5.85,10.23,22.44,0.64,36.15,244.55,0.34,8.9,82.32,1437,931,506,0.574
2833,1720903,56.59,7.5,8.52,20.87,0.64,21.96,399.35,8.74,16.36,80.05,15051,10627,4424,0.634
2834,2102101,67.57,6.67,8.53,32.24,0.64,40.08,200.25,7.14,12.13,65.48,33359,12340,21019,0.562
2835,2105005,82.29,5.55,9.46,25.99,0.64,53.44,125.91,10.61,4.16,75.93,26189,10506,15683,0.535
2836,2106508,60.54,6.93,9.65,20.3,0.64,27.83,294.51,6.63,7.61,80.61,21885,8883,13002,0.619
2837,2106706,67.35,6.14,8.47,32.05,0.64,50.29,163.97,5.78,7.01,56.16,20452,9373,11079,0.545
2838,2308377,66.0,7.8,10.09,35.31,0.64,41.87,191.56,12.68,9.81,68.86,12800,6847,5953,0.592
2839,2704203,55.8,6.61,8.44,38.29,0.64,25.23,285.98,7.79,20.68,71.72,26992,2246,24746,0.58
2840,2707206,68.33,5.53,9.29,36.89,0.64,46.66,162.21,6.37,7.51,23.79,13872,2043,11829,0.526
2841,2709202,69.28,6.94,7.87,45.72,0.64,47.15,178.79,3.71,6.24,37.18,25702,8027,17675,0.532
2842,3136900,43.22,7.52,8.45,6.89,0.64,1.03,1122.1,1.34,29.09,69.24,9238,4514,4724,0.723
2843,3162658,57.36,8.92,7.05,24.17,0.64,22.42,346.53,6.19,4.35,77.06,4060,1921,2139,0.625
2844,4315404,69.83,7.88,8.62,17.6,0.64,29.51,346.4,3.79,16.84,84.69,10222,3002,7220,0.631
2845,5006358,81.35,5.38,8.78,19.63,0.64,33.54,271.52,2.29,25.98,70.18,12350,6263,6087,0.588
2846,5106190,48.27,6.92,10.46,13.09,0.64,2.89,824.04,4.39,23.99,96.76,3468,1988,1480,0.714
2847,5106208,49.17,7.61,8.66,21.59,0.64,18.13,526.35,4.73,20.41,83.03,4587,3659,928,0.651
2848,1101559,49.94,7.63,9.2,14.04,0.43,6.75,464.45,3.45,12.19,95.05,4888,1716,3172,0.643
