,id_municipio,ano,populacao
895,1400605,2006,6702
896,1400605,2010,6750
897,1400605,2014,7309
898,1400605,2018,7860
899,1400605,2022,8232
900,1400704,2002,6013
901,1400704,2006,6543
902,1400704,2010,8375
903,1400704,2014,9309
904,1400704,2018,10325
905,1400704,2022,11014
906,1500107,2002,123184
907,1500107,2006,133316
908,1500107,2010,141100
909,1500107,2014,148873
910,1500107,2018,156292
911,1500107,2022,160439
912,1500131,2002,6291
913,1500131,2006,7131
914,1500131,2010,6780
915,1500131,2014,7070
916,1500131,2018,7382
917,1500131,2022,7536
918,1500206,2002,55270
919,1500206,2006,63170
920,1500206,2010,53569
921,1500206,2014,54047
922,1500206,2018,55513
923,1500206,2022,55744
924,1500305,2002,31503
925,1500305,2006,36524
926,1500305,2010,35042
927,1500305,2014,37004
928,1500305,2018,38863
929,1500305,2022,39910
930,1500347,2002,25291
931,1500347,2006,33350
932,1500347,2010,25057
933,1500347,2014,26105
934,1500347,2018,27241
935,1500347,2022,27797
936,1500404,2002,41190
937,1500404,2006,39697
938,1500404,2010,52626
939,1500404,2014,54353
940,1500404,2018,56480
941,1500404,2022,57390
942,1500503,2002,34065
943,1500503,2006,34338
944,1500503,2010,33614
945,1500503,2014,33466
946,1500503,2018,34142
947,1500503,2022,34044
948,1500602,2002,79776
949,1500602,2006,85649
950,1500602,2010,99075
951,1500602,2014,106768
952,1500602,2018,113195
953,1500602,2022,117320
954,1500701,2002,19172
955,1500701,2006,21307
956,1500701,2010,24759
957,1500701,2014,27051
958,1500701,2018,28859
959,1500701,2022,30091
960,1500800,2002,423325
961,1500800,2006,498095
962,1500800,2010,471980
963,1500800,2014,499776
964,1500800,2018,525566
965,1500800,2022,540410
966,1500859,2002,8558
967,1500859,2006,6425
968,1500859,2010,20543
969,1500859,2014,24525
970,1500859,2018,27161
971,1500859,2022,29312
972,1500909,2002,33577
973,1500909,2006,34998
974,1500909,2010,40497
975,1500909,2014,43154
976,1500909,2018,45516
977,1500909,2022,46937
978,1500958,2002,21278
979,1500958,2006,25174
980,1500958,2010,26546
981,1500958,2014,28974
982,1500958,2018,30896
983,1500958,2022,32200
984,1501006,2002,16495
985,1501006,2006,18949
986,1501006,2010,15849
987,1501006,2014,15956
988,1501006,2018,16371
989,1501006,2022,16421
990,1501105,2002,13679
991,1501105,2006,13607
992,1501105,2010,23864
993,1501105,2014,27491
994,1501105,2018,30009
995,1501105,2022,31967
996,1501204,2002,21339
997,1501204,2006,21893
998,1501204,2010,36882
999,1501204,2014,42513
1000,1501204,2018,46416
1001,1501204,2022,49454
1002,1501253,2002,3656
1003,1501253,2006,3345
1004,1501253,2010,3431
1005,1501253,2014,3303
1006,1501253,2018,3310
1007,1501253,2022,3239
1008,1501303,2002,66913
1009,1501303,2006,76071
1010,1501303,2010,99859
1011,1501303,2014,112921
1012,1501303,2018,122294
1013,1501303,2022,129333
1014,1501402,2002,1322683
1015,1501402,2006,1428368
1016,1501402,2010,1393399
1017,1501402,2014,1432844
1018,1501402,2018,1485732
1019,1501402,2022,1506420
1020,1501451,2002,15467
1021,1501451,2006,17659
1022,1501451,2010,16318
1023,1501451,2014,16924
1024,1501451,2018,17624
1025,1501451,2022,17944
1026,1501501,2002,38458
1027,1501501,2006,45774
1028,1501501,2010,51651
1029,1501501,2014,57393
1030,1501501,2018,61689
1031,1501501,2022,64780
1032,1501576,2002,13426
1033,1501576,2006,14232
1034,1501576,2010,15298
1035,1501576,2014,16074
1036,1501576,2018,16841
1037,1501576,2022,17254
1038,1501600,2002,10084
1039,1501600,2006,10762
1040,1501600,2010,13630
1041,1501600,2014,14990
1042,1501600,2018,16038
1043,1501600,2022,16769
1044,1501709,2002,96618
1045,1501709,2006,103751
1046,1501709,2010,113227
1047,1501709,2014,120124
1048,1501709,2018,126436
1049,1501709,2022,130122
1050,1501725,2002,18387
1051,1501725,2006,21386
1052,1501725,2010,15690
1053,1501725,2014,15139
1054,1501725,2018,15190
1055,1501725,2022,14883
1056,1501758,2002,7686
1057,1501758,2006,8243
1058,1501758,2010,7317
1059,1501758,2014,7258
1060,1501758,2018,7392
1061,1501758,2022,7357
1062,1501782,2002,36376
1063,1501782,2006,46250
1064,1501782,2010,52493
1065,1501782,2014,59651
1066,1501782,2018,64738
1067,1501782,2022,68597
1068,1501808,2002,81845
1069,1501808,2006,86084
1070,1501808,2010,92860
1071,1501808,2014,97351
1072,1501808,2018,101891
1073,1501808,2022,104280
1074,1501907,2002,22487
1075,1501907,2006,26143
1076,1501907,2010,25695
1077,1501907,2014,27349
1078,1501907,2018,28832
1079,1501907,2022,29717
1080,1501956,2002,16952
1081,1501956,2006,20759
1082,1501956,2010,26484
1083,1501956,2014,30430
1084,1501956,2018,33178
1085,1501956,2022,35307
1086,1502004,2002,16317
1087,1502004,2006,17658
1088,1502004,2010,20443
1089,1502004,2014,22100
1090,1502004,2018,23466
1091,1502004,2022,24355
1092,1502103,2002,100241
1093,1502103,2006,106816
1094,1502103,2010,120896
1095,1502103,2014,129161
1096,1502103,2018,136390
1097,1502103,2022,140814
1098,1502152,2002,11761
1099,1502152,2006,13870
1100,1502152,2010,26716
1101,1502152,2014,32366
1102,1502152,2018,36050
1103,1502152,2022,39103
1104,1502202,2002,58372
1105,1502202,2006,61519
1106,1502202,2010,63639
1107,1502202,2014,65932
1108,1502202,2018,68616
1109,1502202,2022,69828
1110,1502301,2002,50677
1111,1502301,2006,52960
1112,1502301,2010,51893
1113,1502301,2014,52616
1114,1502301,2018,54179
1115,1502301,2022,54545
1116,1502400,2002,141318
1117,1502400,2006,158462
1118,1502400,2010,173149
1119,1502400,2014,186895
1120,1502400,2018,198294
1121,1502400,2022,205667
1122,1502509,2002,17339
1123,1502509,2006,17313
1124,1502509,2010,21005
1125,1502509,2014,22302
1126,1502509,2018,23482
1127,1502509,2022,24175
1128,1502608,2002,11115
1129,1502608,2006,12328
1130,1502608,2010,11381
1131,1502608,2014,11641
1132,1502608,2018,12040
1133,1502608,2022,12175
1134,1502707,2002,43668
1135,1502707,2006,44375
1136,1502707,2010,45557
1137,1502707,2014,46302
1138,1502707,2018,47734
1139,1502707,2022,48115
1140,1502756,2002,22157
1141,1502756,2006,25176
1142,1502756,2010,28216
1143,1502756,2014,30801
1144,1502756,2018,32847
1145,1502756,2022,34236
